crane_id,equipment_type,date,crane_operation_hours,fuel_consumption_litres,fuel_consumption_kWh,maintenance_status,operator_id,number_of_moves
RTG16,RTG,2026-01-01,12.05,175.32,0,Good,OP_112,204
RTG17,RTG,2026-01-01,19.15,248.51,0,Good,OP_113,344
RTG18,RTG,2026-01-01,16.12,285.12,0,Good,OP_106,274
RTG19,RTG,2026-01-01,14.07,170.71,0,Good,OP_129,281
RTG20,RTG,2026-01-01,12.85,211.65,0,Under Repair,OP_126,257
RTG21,RTG,2026-01-01,18.55,332.01,0,Good,OP_139,315
RTG22,RTG,2026-01-01,13.44,203.35,0,Good,OP_149,255
RTG23,RTG,2026-01-01,21.1,267.42,0,Good,OP_103,422
RTG24,RTG,2026-01-01,19.85,302.91,0,Under Repair,OP_104,357
RTG25,RTG,2026-01-01,19.71,246.1,0,Good,OP_150,315
RTG26,RTG,2026-01-01,19.02,316.27,0,Under Repair,OP_110,323
RTG27,RTG,2026-01-01,13.08,231.34,0,Good,OP_105,209
RTG28,RTG,2026-01-01,14.34,221.45,0,Good,OP_101,258
RTG29,RTG,2026-01-01,13.28,179.89,0,Good,OP_135,212
RTG30,RTG,2026-01-01,15.71,222.18,0,Good,OP_105,282
RTG31,RTG,2026-01-01,15.47,276.63,0,Good,OP_122,262
RTG32,RTG,2026-01-01,15.28,238.96,0,Due,OP_137,275
RTG33,RTG,2026-01-01,15.82,251.03,0,Under Repair,OP_105,284
RTG34,RTG,2026-01-01,21.79,371.64,0,Under Repair,OP_146,414
RTG35,RTG,2026-01-01,17.89,304.05,0,Due,OP_144,286
RTG36,RTG,2026-01-01,21.29,262.04,0,Good,OP_149,404
QC01,Quay Crane,2026-01-02,12.11,0,1816.98,Good,OP_122,302
QC02,Quay Crane,2026-01-02,20.25,0,3121.87,Good,OP_131,546
QC03,Quay Crane,2026-01-02,13.13,0,2219.05,Good,OP_147,354
QC04,Quay Crane,2026-01-02,19.41,0,3314.87,Good,OP_113,543
QC05,Quay Crane,2026-01-02,13.73,0,2286.86,Good,OP_118,398
QC06,Quay Crane,2026-01-02,16.17,0,2631.96,Under Repair,OP_128,485
QC07,Quay Crane,2026-01-02,13.58,0,2696.15,Good,OP_146,393
QC08,Quay Crane,2026-01-02,16.74,0,2961.89,Under Repair,OP_105,418
QC09,Quay Crane,2026-01-02,21.87,0,3456.94,Due,OP_110,568
QC10,Quay Crane,2026-01-02,15.34,0,2438.97,Good,OP_108,444
QC11,Quay Crane,2026-01-02,13.82,0,2546.51,Under Repair,OP_141,373
QC12,Quay Crane,2026-01-02,12.14,0,2158.69,Good,OP_142,315
RTG01,RTG,2026-01-02,16.02,215.62,0,Good,OP_112,304
RTG02,RTG,2026-01-02,,216.32,0,Good,OP_122,241
RTG03,RTG,2026-01-02,14.59,259.28,0,Due,OP_129,233
RTG04,RTG,2026-01-02,13.5,221.9,0,Due,OP_110,202
RTG05,RTG,2026-01-02,12.17,201.13,0,Good,OP_100,206
RTG06,RTG,2026-01-02,14.52,190.56,0,Under Repair,OP_116,217
RTG07,RTG,2026-01-02,14.83,201.38,0,Under Repair,OP_125,252
RTG08,RTG,2026-01-02,17.02,215.58,0,Good,OP_131,289
RTG09,RTG,2026-01-02,19.11,272.56,0,Due,OP_102,343
RTG10,RTG,2026-01-02,15.61,224.98,0,Good,OP_142,249
RTG11,RTG,2026-01-02,18.82,277.08,0,Under Repair,OP_135,282
RTG12,RTG,2026-01-02,21.22,275.47,0,Under Repair,OP_110,339
RTG13,RTG,2026-01-02,16.8,247.93,0,Good,OP_134,285
RTG14,RTG,2026-01-02,13.3,206.97,0,Good,OP_131,199
RTG15,RTG,2026-01-02,13.48,179.89,0,Good,OP_119,202
RTG16,RTG,2026-01-02,12.84,211.96,0,Good,OP_147,218
RTG17,RTG,2026-01-02,12.02,147.18,0,Under Repair,OP_110,192
RTG18,RTG,2026-01-02,12.83,196.59,0,Due,OP_101,243
RTG19,RTG,2026-01-02,15.42,185.65,0,Good,OP_143,308
RTG20,RTG,2026-01-02,18.61,274.93,0,Good,OP_129,279
RTG21,RTG,2026-01-02,16.02,251.94,0,Under Repair,OP_134,288
RTG22,RTG,2026-01-02,17.54,303.99,0,Good,OP_127,263
RTG23,RTG,2026-01-02,13.39,238.73,0,Under Repair,OP_136,227
RTG24,RTG,2026-01-02,18.1,224.82,0,Under Repair,OP_109,362
RTG25,RTG,2026-01-02,14.34,204.86,0,Good,OP_107,272
RTG26,RTG,2026-01-02,14.25,237.09,0,Due,OP_125,213
RTG27,RTG,2026-01-02,21.55,283.13,0,Good,OP_120,409
RTG28,RTG,2026-01-02,12.03,154.27,0,Good,OP_104,216
RTG29,RTG,2026-01-02,17.57,214.28,0,Good,OP_100,298
RTG30,RTG,2026-01-02,21.27,341.06,0,Good,OP_123,425
RTG31,RTG,2026-01-02,17.64,300.16,0,Good,OP_116,299
RTG32,RTG,2026-01-02,17.07,275.27,0,Good,OP_122,324
RTG33,RTG,2026-01-02,15.56,260.13,0,Due,OP_112,295
RTG34,RTG,2026-01-02,15.8,194.76,0,Due,OP_147,316
RTG35,RTG,2026-01-02,12.08,176.5,0,Under Repair,OP_114,229
RTG36,RTG,2026-01-02,20.88,294.76,0,Good,OP_115,417
QC01,Quay Crane,2026-01-03,17.37,0,3030.15,Good,OP_103,521
QC02,Quay Crane,2026-01-03,14.92,0,2572.73,Good,OP_106,447
QC03,Quay Crane,2026-01-03,20.99,0,3953.05,Under Repair,OP_107,629
QC04,Quay Crane,2026-01-03,13.08,0,2006.77,Due,OP_141,379
QC05,Quay Crane,2026-01-03,17.8,0,3011.17,Good,OP_142,534
QC06,Quay Crane,2026-01-03,15.08,0,2570.46,Good,OP_149,377
QC07,Quay Crane,2026-01-03,21.04,0,3560.95,Good,OP_142,568
QC08,Quay Crane,2026-01-03,12.3,0,2296.98,Good,OP_140,344
QC09,Quay Crane,2026-01-03,18.87,0,3210.83,Good,OP_104,471
QC10,Quay Crane,2026-01-03,15.04,0,2834.43,Due,OP_146,451
QC11,Quay Crane,2026-01-03,19.94,0,3841.39,Good,OP_100,578
QC12,Quay Crane,2026-01-03,12.58,0,2278.47,Good,OP_128,352
RTG01,RTG,2026-01-03,18.66,322.34,0,Good,OP_120,354
RTG02,RTG,2026-01-03,12.09,146.57,0,Good,OP_103,229
RTG03,RTG,2026-01-03,18.39,273.71,0,Under Repair,OP_135,294
RTG04,RTG,2026-01-03,15.52,211.75,0,Due,OP_147,294
RTG05,RTG,2026-01-03,18.06,307.83,0,Good,OP_113,361
RTG06,RTG,2026-01-03,12.5,175.48,0,Under Repair,OP_120,237
RTG07,RTG,2026-01-03,21.23,344.38,0,Due,OP_110,339
RTG08,RTG,2026-01-03,16.72,247.42,0,Good,OP_135,300
RTG09,RTG,2026-01-03,15.52,213.75,0,Under Repair,OP_135,310
RTG10,RTG,2026-01-03,16.72,293.96,0,Good,OP_104,317
RTG11,RTG,2026-01-03,14.68,190.97,0,Due,OP_112,264
RTG12,RTG,2026-01-03,12.76,202.82,0,Good,OP_104,191
RTG13,RTG,2026-01-03,20.4,291.27,0,Due,OP_115,408
RTG14,RTG,2026-01-03,16.44,227.69,0,Good,OP_128,328
RTG15,RTG,2026-01-03,12.67,169.57,0,Under Repair,OP_120,253
RTG16,RTG,2026-01-03,13.39,161.76,0,Good,OP_132,200
RTG17,RTG,2026-01-03,21.1,304.23,0,Under Repair,OP_116,337
RTG18,RTG,2026-01-03,20.24,284.52,0,Good,OP_113,344
RTG19,RTG,2026-01-03,14.34,245.19,0,Due,OP_106,258
RTG20,RTG,2026-01-03,17.04,297.18,0,Good,OP_109,340
RTG21,RTG,2026-01-03,20.17,317.88,0,Due,OP_100,322
RTG22,RTG,2026-01-03,14.79,180.21,0,Good,OP_140,221
RTG23,RTG,2026-01-03,15.06,208.51,0,Under Repair,OP_134,271
RTG24,RTG,2026-01-03,13.44,193.6,0,Good,OP_113,228
RTG25,RTG,2026-01-03,21.51,263.51,0,Good,OP_111,387
RTG26,RTG,2026-01-03,18.77,326.12,0,Due,OP_128,337
RTG27,RTG,2026-01-03,20.38,248.36,0,Due,OP_107,387
RTG28,RTG,2026-01-03,15.32,212.31,0,Good,OP_117,275
RTG29,RTG,2026-01-03,17.46,239.61,0,Under Repair,OP_114,279
RTG30,RTG,2026-01-03,15.67,219.91,0,Good,OP_128,235
RTG31,RTG,2026-01-03,19.25,324.85,0,Due,OP_147,308
RTG32,RTG,2026-01-03,15.37,197.44,0,Good,OP_138,292
RTG33,RTG,2026-01-03,19.14,253.16,0,Good,OP_117,344
RTG34,RTG,2026-01-03,19.9,309.05,0,Good,OP_132,378
RTG35,RTG,2026-01-03,16.49,272.42,0,Good,OP_116,313
RTG36,RTG,2026-01-03,15.56,234.12,0,Good,OP_101,264
QC01,Quay Crane,2026-01-04,20.87,0,3189.44,Due,OP_124,584
QC02,Quay Crane,2026-01-04,19.14,0,2960.66,Good,OP_127,555
QC03,Quay Crane,2026-01-04,21.55,0,4146.7,Under Repair,OP_110,581
QC04,Quay Crane,2026-01-04,14.64,0,2707.15,Under Repair,OP_111,395
QC05,Quay Crane,2026-01-04,17.68,0,3446.45,Good,OP_125,459
QC06,Quay Crane,2026-01-04,12.6,0,1894.79,Good,OP_140,315
QC07,Quay Crane,2026-01-04,20.24,0,3374.49,Good,OP_146,586
QC08,Quay Crane,2026-01-04,14.6,0,2586.78,Good,OP_145,423
QC09,Quay Crane,2026-01-04,18.77,0,3166.48,Good,OP_129,469
QC10,Quay Crane,2026-01-04,21.27,0,3657.62,Good,OP_142,574
QC11,Quay Crane,2026-01-04,19.24,0,3693.6,Good,OP_119,577
QC12,Quay Crane,2026-01-04,12.46,0,2466.95,Good,OP_105,323
RTG01,RTG,2026-01-04,21.08,290.67,0,Under Repair,OP_149,400
RTG02,RTG,2026-01-04,21.41,264.19,0,Good,OP_138,363
RTG03,RTG,2026-01-04,19.58,235.16,0,Good,OP_135,293
RTG04,RTG,2026-01-04,13.05,205.62,0,Due,OP_132,261
RTG05,RTG,2026-01-04,19,265.7,0,Good,OP_127,304
RTG06,RTG,2026-01-04,18.71,255.21,0,Under Repair,OP_140,299
RTG07,RTG,2026-01-04,19.57,237.91,0,Due,OP_139,293
RTG08,RTG,2026-01-04,15.21,183.55,0,Good,OP_146,228
RTG09,RTG,2026-01-04,16.05,211.84,0,Due,OP_112,272
RTG10,RTG,2026-01-04,19.13,272.48,0,Good,OP_100,306
RTG11,RTG,2026-01-04,19.13,276.14,0,Due,OP_131,363
RTG12,RTG,2026-01-04,18.6,318.8,0,Due,OP_145,297
RTG13,RTG,2026-01-04,19.26,265.26,0,Due,OP_117,308
RTG14,RTG,2026-01-04,15.01,191.56,0,Good,OP_102,285
RTG15,RTG,2026-01-04,19.61,352.75,0,Good,OP_138,352
RTG16,RTG,2026-01-04,18.17,237.46,0,Good,OP_134,290
RTG17,RTG,2026-01-04,17.11,305.07,0,Good,OP_103,273
RTG18,RTG,2026-01-04,19.47,348.19,0,Under Repair,OP_150,311
RTG19,RTG,2026-01-04,20.23,306.97,0,Good,OP_133,303
RTG20,RTG,2026-01-04,14.4,185.3,0,Good,OP_109,273
RTG21,RTG,2026-01-04,15.28,264.51,0,Due,OP_123,305
RTG22,RTG,2026-01-04,14.98,237.19,0,Under Repair,OP_126,299
RTG23,RTG,2026-01-04,14.14,177.14,0,Good,OP_118,212
RTG24,RTG,2026-01-04,15.53,202.81,0,Under Repair,OP_109,264
RTG25,RTG,2026-01-04,13.29,182.96,0,Due,OP_140,199
RTG26,RTG,2026-01-04,17.58,295.28,0,Under Repair,OP_100,334
RTG27,RTG,2026-01-04,20.07,254.02,0,Due,OP_148,341
RTG28,RTG,2026-01-04,,353.13,0,Good,OP_131,302
RTG29,RTG,2026-01-04,17.2,299.37,0,Good,OP_109,275
RTG30,RTG,2026-01-04,17.22,277.11,0,Good,OP_106,292
RTG31,RTG,2026-01-04,16.08,257.67,0,Under Repair,OP_111,305
RTG32,RTG,2026-01-04,12.92,170.74,0,Good,OP_128,193
RTG33,RTG,2026-01-04,14.42,194.26,0,Under Repair,OP_139,230
RTG34,RTG,2026-01-04,21.3,333.72,0,Due,OP_125,319
RTG35,RTG,2026-01-04,15.28,187.4,0,Good,OP_148,290
RTG36,RTG,2026-01-04,19.17,240.19,0,Good,OP_142,383
QC01,Quay Crane,2026-01-05,16.47,0,2835.29,Due,OP_129,444
QC02,Quay Crane,2026-01-05,14.17,0,2753.32,Good,OP_132,425
QC03,Quay Crane,2026-01-05,21.85,0,3965.5,Under Repair,OP_138,633
QC04,Quay Crane,2026-01-05,15.52,0,2631.58,Good,OP_114,388
QC05,Quay Crane,2026-01-05,15.68,0,2626.68,Due,OP_131,392
QC06,Quay Crane,2026-01-05,15.28,0,2965.6,Good,OP_109,412
QC07,Quay Crane,2026-01-05,18.32,0,2993.88,Due,OP_134,512
QC08,Quay Crane,2026-01-05,14.29,0,2717.29,Due,OP_145,357
QC09,Quay Crane,2026-01-05,19.22,0,2986.12,Good,OP_138,499
QC10,Quay Crane,2026-01-05,20.01,0,3284.06,Good,OP_140,580
QC11,Quay Crane,2026-01-05,18.37,0,2825.06,Good,OP_117,459
QC12,Quay Crane,2026-01-05,,0,2244.63,Good,OP_116,340
RTG01,RTG,2026-01-05,12.19,174.84,0,Due,OP_136,195
RTG02,RTG,2026-01-05,21.34,329.91,0,Under Repair,OP_127,320
RTG03,RTG,2026-01-05,16.89,221.29,0,Good,OP_107,304
RTG04,RTG,2026-01-05,16.18,254.07,0,Under Repair,OP_109,275
RTG05,RTG,2026-01-05,14.46,199.6,0,Under Repair,OP_144,260
RTG06,RTG,2026-01-05,19.53,337.85,0,Good,OP_146,312
RTG07,RTG,2026-01-05,20.59,346.38,0,Good,OP_104,411
RTG08,RTG,2026-01-05,21.51,345.19,0,Due,OP_107,365
RTG09,RTG,2026-01-05,18.88,292.33,0,Due,OP_108,283
RTG10,RTG,2026-01-05,21.49,315.91,0,Under Repair,OP_140,322
RTG11,RTG,2026-01-05,15.62,237.1,0,Good,OP_149,281
RTG12,RTG,2026-01-05,17.47,237.74,0,Good,OP_109,262
RTG13,RTG,2026-01-05,21.25,363.88,0,Good,OP_119,340
RTG14,RTG,2026-01-05,17.6,237.76,0,Due,OP_145,334
RTG15,RTG,2026-01-05,13.49,171.1,0,Under Repair,OP_112,256
RTG16,RTG,2026-01-05,14.52,229.29,0,Under Repair,OP_108,232
RTG17,RTG,2026-01-05,18.85,336.27,0,Good,OP_104,358
RTG18,RTG,2026-01-05,12.15,182.92,0,Good,OP_139,218
RTG19,RTG,2026-01-05,21.41,276.54,0,Due,OP_124,363
RTG20,RTG,2026-01-05,21.52,286.65,0,Due,OP_123,430
RTG21,RTG,2026-01-05,21.63,335.32,0,Good,OP_114,389
RTG22,RTG,2026-01-05,13.25,165.82,0,Due,OP_140,251
RTG23,RTG,2026-01-05,21.39,381.22,0,Good,OP_109,427
RTG24,RTG,2026-01-05,18.21,269.99,0,Good,OP_128,291
RTG25,RTG,2026-01-05,13.72,219.21,0,Due,OP_124,260
RTG26,RTG,2026-01-05,18.98,297.19,0,Good,OP_109,322
RTG27,RTG,2026-01-05,17.3,267.43,0,Good,OP_106,328
RTG28,RTG,2026-01-05,21.56,330.2,0,Good,OP_118,409
RTG29,RTG,2026-01-05,14.97,231.09,0,Good,OP_112,299
RTG30,RTG,2026-01-05,20.63,365.32,0,Due,OP_124,371
RTG31,RTG,2026-01-05,19.61,246.13,0,Good,OP_111,313
RTG32,RTG,2026-01-05,20.34,282.17,0,Good,OP_140,345
RTG33,RTG,2026-01-05,18.8,287.71,0,Good,OP_144,282
RTG34,RTG,2026-01-05,12.3,160.95,0,Due,OP_103,246
RTG35,RTG,2026-01-05,15.75,200.63,0,Good,OP_105,283
RTG36,RTG,2026-01-05,14.99,205.78,0,Due,OP_125,269
QC01,Quay Crane,2026-01-06,16.3,0,2599.97,Good,OP_142,440
QC02,Quay Crane,2026-01-06,14.63,0,2545.28,Under Repair,OP_103,365
QC03,Quay Crane,2026-01-06,21.43,0,4073.4,Due,OP_119,557
QC04,Quay Crane,2026-01-06,21.87,0,3921.81,Good,OP_132,656
QC05,Quay Crane,2026-01-06,12.2,0,2101.4,Good,OP_136,341
QC06,Quay Crane,2026-01-06,17.83,0,3106.92,Good,OP_108,534
QC07,Quay Crane,2026-01-06,16.08,0,2955.41,Good,OP_115,434
QC08,Quay Crane,2026-01-06,15.48,0,2343.59,Under Repair,OP_102,464
QC09,Quay Crane,2026-01-06,17.64,0,3214.22,Good,OP_140,529
QC10,Quay Crane,2026-01-06,16.89,0,3008.33,Under Repair,OP_147,506
QC11,Quay Crane,2026-01-06,18.18,0,3155.53,Good,OP_130,527
QC12,Quay Crane,2026-01-06,19.77,0,3748.88,Good,OP_145,514
RTG01,RTG,2026-01-06,14.99,184.64,0,Under Repair,OP_141,254
RTG02,RTG,2026-01-06,15.83,276.65,0,Under Repair,OP_131,237
RTG03,RTG,2026-01-06,,255.41,0,Good,OP_115,310
RTG04,RTG,2026-01-06,12.25,196.43,0,Good,OP_148,196
RTG05,RTG,2026-01-06,15.02,196.83,0,Good,OP_109,225
RTG06,RTG,2026-01-06,20.3,295.16,0,Under Repair,OP_144,406
RTG07,RTG,2026-01-06,19.58,266.25,0,Under Repair,OP_133,293
RTG08,RTG,2026-01-06,13.14,227.54,0,Good,OP_128,236
RTG09,RTG,2026-01-06,21.67,321.05,0,Under Repair,OP_130,390
RTG10,RTG,2026-01-06,18.34,322.85,0,Good,OP_108,348
RTG11,RTG,2026-01-06,14.39,239.64,0,Good,OP_117,215
RTG12,RTG,2026-01-06,15.96,193.93,0,Good,OP_108,255
RTG13,RTG,2026-01-06,15.17,264.08,0,Under Repair,OP_133,227
RTG14,RTG,2026-01-06,14.65,211.44,0,Under Repair,OP_142,278
RTG15,RTG,2026-01-06,20.68,342.37,0,Good,OP_114,413
RTG16,RTG,2026-01-06,20.01,347.83,0,Due,OP_150,400
RTG17,RTG,2026-01-06,17.24,208.55,0,Good,OP_100,344
RTG18,RTG,2026-01-06,17.7,273.48,0,Under Repair,OP_138,336
RTG19,RTG,2026-01-06,17.8,275.15,0,Good,OP_142,302
RTG20,RTG,2026-01-06,12.15,168.67,0,Good,OP_148,206
RTG21,RTG,2026-01-06,,245.48,0,Good,OP_102,346
RTG22,RTG,2026-01-06,13.98,214.86,0,Good,OP_142,223
RTG23,RTG,2026-01-06,14.89,231.62,0,Under Repair,OP_150,223
RTG24,RTG,2026-01-06,15.93,252.53,0,Under Repair,OP_125,286
RTG25,RTG,2026-01-06,16.43,286.83,0,Good,OP_110,328
RTG26,RTG,2026-01-06,13.7,235.54,0,Under Repair,OP_126,274
RTG27,RTG,2026-01-06,16.33,287.3,0,Good,OP_139,310
RTG28,RTG,2026-01-06,21.34,271.57,0,Good,OP_121,341
RTG29,RTG,2026-01-06,19.17,242.95,0,Under Repair,OP_148,364
RTG30,RTG,2026-01-06,14.17,233.72,0,Good,OP_139,283
RTG31,RTG,2026-01-06,12.01,198.75,0,Good,OP_134,204
RTG32,RTG,2026-01-06,16.33,259.22,0,Good,OP_135,326
RTG33,RTG,2026-01-06,20.91,264.15,0,Due,OP_127,355
RTG34,RTG,2026-01-06,17.85,236.9,0,Under Repair,OP_150,303
RTG35,RTG,2026-01-06,18.8,325.48,0,Under Repair,OP_121,357
RTG36,RTG,2026-01-06,,287.23,0,Good,OP_114,422
QC01,Quay Crane,2026-01-07,14.38,0,2407.18,Good,OP_147,431
QC02,Quay Crane,2026-01-07,20.25,0,3656.59,Good,OP_118,526
QC03,Quay Crane,2026-01-07,16.32,0,2583.19,Good,OP_129,424
QC04,Quay Crane,2026-01-07,13.28,0,2616.99,Good,OP_132,371
QC05,Quay Crane,2026-01-07,13.96,0,2561.54,Good,OP_139,376
QC06,Quay Crane,2026-01-07,18.94,0,3545.56,Under Repair,OP_112,549
QC07,Quay Crane,2026-01-07,17.85,0,2803.08,Under Repair,OP_104,464
QC08,Quay Crane,2026-01-07,,0,3177.38,Good,OP_107,467
QC09,Quay Crane,2026-01-07,12.15,0,2347.81,Under Repair,OP_138,303
QC10,Quay Crane,2026-01-07,18.54,0,2907.09,Under Repair,OP_125,519
QC11,Quay Crane,2026-01-07,19.53,0,3444.75,Good,OP_124,546
QC12,Quay Crane,2026-01-07,21.05,0,3521.27,Due,OP_125,589
RTG01,RTG,2026-01-07,20.97,351.92,0,Due,OP_139,314
RTG02,RTG,2026-01-07,21.37,321.33,0,Good,OP_140,406
RTG03,RTG,2026-01-07,21.3,339.76,0,Good,OP_111,404
RTG04,RTG,2026-01-07,17.79,312.23,0,Under Repair,OP_135,302
RTG05,RTG,2026-01-07,12.56,172.06,0,Under Repair,OP_132,213
RTG06,RTG,2026-01-07,20.59,340.25,0,Good,OP_117,370
RTG07,RTG,2026-01-07,20.25,273.66,0,Under Repair,OP_109,384
RTG08,RTG,2026-01-07,13.55,200.94,0,Good,OP_132,216
RTG09,RTG,2026-01-07,13.96,200.96,0,Under Repair,OP_133,251
RTG10,RTG,2026-01-07,17.93,259.93,0,Under Repair,OP_105,286
RTG11,RTG,2026-01-07,16.78,269.17,0,Good,OP_137,268
RTG12,RTG,2026-01-07,14.26,250.74,0,Good,OP_142,228
RTG13,RTG,2026-01-07,21.06,313.19,0,Good,OP_105,336
RTG14,RTG,2026-01-07,16.13,200.95,0,Due,OP_140,290
RTG15,RTG,2026-01-07,21.62,383.07,0,Under Repair,OP_134,345
RTG16,RTG,2026-01-07,16.65,203.38,0,Under Repair,OP_129,316
RTG17,RTG,2026-01-07,21.69,294.05,0,Good,OP_132,368
RTG18,RTG,2026-01-07,21.61,280.04,0,Under Repair,OP_120,388
RTG19,RTG,2026-01-07,15,269.08,0,Due,OP_143,285
RTG20,RTG,2026-01-07,17.19,244.36,0,Due,OP_150,257
RTG21,RTG,2026-01-07,14,211.33,0,Under Repair,OP_147,280
RTG22,RTG,2026-01-07,13.85,215.05,0,Due,OP_124,277
RTG23,RTG,2026-01-07,21.87,345.55,0,Under Repair,OP_114,415
RTG24,RTG,2026-01-07,21.64,382.91,0,Due,OP_128,346
RTG25,RTG,2026-01-07,16.16,287.77,0,Good,OP_131,258
RTG26,RTG,2026-01-07,12.05,194.75,0,Under Repair,OP_107,180
RTG27,RTG,2026-01-07,16.86,275.77,0,Under Repair,OP_118,286
RTG28,RTG,2026-01-07,12.27,195.52,0,Due,OP_135,196
RTG29,RTG,2026-01-07,19.44,292.54,0,Good,OP_148,311
RTG30,RTG,2026-01-07,19.95,242.29,0,Due,OP_133,299
RTG31,RTG,2026-01-07,17.44,299.76,0,Good,OP_130,279
RTG32,RTG,2026-01-07,20.23,261.24,0,Due,OP_105,323
RTG33,RTG,2026-01-07,17.94,273.66,0,Good,OP_111,340
RTG34,RTG,2026-01-07,18.73,258.95,0,Under Repair,OP_111,374
RTG35,RTG,2026-01-07,12.93,212.52,0,Good,OP_130,193
RTG36,RTG,2026-01-07,18.62,327.09,0,Good,OP_132,316
QC01,Quay Crane,2026-01-08,13.65,0,2089.74,Good,OP_111,368
QC02,Quay Crane,2026-01-08,16.53,0,2531.09,Under Repair,OP_132,413
QC03,Quay Crane,2026-01-08,20.98,0,3748.91,Good,OP_108,545
QC04,Quay Crane,2026-01-08,12.43,0,2035.28,Due,OP_114,335
QC05,Quay Crane,2026-01-08,12.88,0,2295.56,Due,OP_129,360
QC06,Quay Crane,2026-01-08,20,0,3325.65,Good,OP_119,580
QC07,Quay Crane,2026-01-08,19.79,0,3364.33,Under Repair,OP_136,534
QC08,Quay Crane,2026-01-08,20.14,0,3505.09,Good,OP_129,604
QC09,Quay Crane,2026-01-08,14.19,0,2687.77,Good,OP_109,425
QC10,Quay Crane,2026-01-08,18.23,0,3304.91,Good,OP_144,455
QC11,Quay Crane,2026-01-08,16.07,0,3194.41,Good,OP_121,482
QC12,Quay Crane,2026-01-08,14.72,0,2309.76,Due,OP_121,412
RTG01,RTG,2026-01-08,19.64,342.06,0,Under Repair,OP_104,333
RTG02,RTG,2026-01-08,17.34,265.86,0,Under Repair,OP_128,277
RTG03,RTG,2026-01-08,16.49,269.52,0,Under Repair,OP_118,263
RTG04,RTG,2026-01-08,18.81,285.11,0,Under Repair,OP_100,357
RTG05,RTG,2026-01-08,12.69,181.44,0,Good,OP_120,228
RTG06,RTG,2026-01-08,16.77,221.85,0,Under Repair,OP_131,285
RTG07,RTG,2026-01-08,12.3,220.51,0,Under Repair,OP_124,184
RTG08,RTG,2026-01-08,18.24,227.52,0,Good,OP_120,364
RTG09,RTG,2026-01-08,19,256.2,0,Under Repair,OP_106,323
RTG10,RTG,2026-01-08,13.09,189.91,0,Good,OP_148,261
RTG11,RTG,2026-01-08,12.01,151.4,0,Due,OP_122,180
RTG12,RTG,2026-01-08,19.69,292.18,0,Good,OP_124,295
RTG13,RTG,2026-01-08,20.15,318.05,0,Good,OP_110,342
RTG14,RTG,2026-01-08,14.08,209.97,0,Under Repair,OP_104,239
RTG15,RTG,2026-01-08,13.09,218.51,0,Good,OP_113,222
RTG16,RTG,2026-01-08,18.07,219.77,0,Under Repair,OP_126,343
RTG17,RTG,2026-01-08,14.61,225.1,0,Good,OP_136,262
RTG18,RTG,2026-01-08,19.48,274.64,0,Good,OP_142,331
RTG19,RTG,2026-01-08,13.56,222.4,0,Due,OP_129,257
RTG20,RTG,2026-01-08,17.39,278.49,0,Good,OP_107,330
RTG21,RTG,2026-01-08,16.78,286.94,0,Due,OP_106,318
RTG22,RTG,2026-01-08,14.55,210.21,0,Good,OP_147,218
